organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Klebsiella pneumoniae (strain 342),699,699,3,507522,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Klebsiella; Klebsiella/Raoultella group; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.916387312029334,14.916387312029334,0.9772050238058398
Pan troglodytes,692,692,5,9598,Catarrhini; Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Haplorrhini; Hominidae; Mammalia; Metazoa; Pan; Primates; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,14.841510746523857,14.841510746523857,1.2615662610100802
Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),686,686,72,272634,Bacillati; Bacteria; Mycoplasmatota; Mycoplasmoidaceae; Mycoplasmoidales; Mycoplasmoides,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.777028859756632,14.777028859756632,4.787307364817192
Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000),683,683,10,223283,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.744682168956,14.744682168956,1.7841241161527712
Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),679,679,2,290338,Bacteria; Citrobacter; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.701442538703265,14.701442538703265,0.7978845608028654
Staphylococcus aureus (strain USA300),679,679,8,367830,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.701442538703265,14.701442538703265,1.5957691216057308
Serratia proteamaculans (strain 568),672,672,3,399741,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Serratia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.625465582862905,14.625465582862905,0.9772050238058398
Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),670,670,24,226900,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.60368527951557,14.60368527951557,2.763953195770684
Mycobacterium leprae (strain TN),669,669,6,272631,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycobacterium,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.592782937361742,14.592782937361742,1.381976597885342
Agrobacterium fabrum (strain C58 / ATCC 33970),669,669,42,176299,Agrobacterium; Agrobacterium tumefaciens complex; Alphaproteobacteria; Bacteria; Hyphomicrobiales; Pseudomonadota; Rhizobiaceae; Rhizobium/Agrobacterium group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.592782937361742,14.592782937361742,3.656366395715726
Yarrowia lipolytica (strain CLIB 122 / E 150),667,667,21,284591,Ascomycota; Dikarya; Dipodascales; Dipodascales incertae sedis; Dipodascomycetes; Eukaryota; Fungi; Saccharomycotina; Yarrowia,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,14.57095378088162,14.57095378088162,2.5854414729132054
Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),667,667,9,224911,Alphaproteobacteria; Bacteria; Bradyrhizobium; Hyphomicrobiales; Nitrobacteraceae; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.57095378088162,14.57095378088162,1.692568750643269
Yersinia pestis (strain Pestoides F),667,667,1,386656,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.57095378088162,14.57095378088162,0.5641895835477563
Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1),663,663,23,211586,Alteromonadales; Bacteria; Gammaproteobacteria; Pseudomonadota; Shewanella; Shewanellaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.527197064122632,14.527197064122632,2.7057581899030048
Sinorhizobium fredii (strain NBRC 101917 / NGR234),658,658,2,394,Alphaproteobacteria; Bacteria; Hyphomicrobiales; Pseudomonadota; Rhizobiaceae; Sinorhizobium; Sinorhizobium/Ensifer group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.472315126092793,14.472315126092793,0.7978845608028654
Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),653,653,1,284592,Ascomycota; Debaryomyces; Debaryomycetaceae; Dikarya; Eukaryota; Fungi; Pichiomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,14.417224270920368,14.417224270920368,0.5641895835477563
Staphylococcus aureus (strain bovine RF122 / ET3-1),643,643,43,273036,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.306406146065385,14.306406146065385,3.6996385101659595
Yersinia pseudotuberculosis serotype O:3 (strain YPIII),642,642,8,502800,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.295277084757526,14.295277084757526,1.5957691216057308
Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),623,623,55,187420,Archaea; Methanobacteria; Methanobacteriaceae; Methanobacteriales; Methanobacteriati; Methanobacteriota; Methanomada group; Methanothermobacter,Archaea,Microbial,Cellular Life,Archaea,Monera,14.082153922340915,14.082153922340915,4.1841419359420025
Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),622,622,87,169963,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Listeria; Listeriaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.070847494245605,14.070847494245605,5.262410103554244
Treponema pallidum (strain Nichols),622,622,15,243276,Bacteria; Spirochaetales; Spirochaetia; Spirochaetota; Treponema; Treponemataceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.070847494245605,14.070847494245605,2.1850968611841584
Pseudomonas aeruginosa (strain UCBPP-PA14),620,620,20,208963,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,14.048207338801282,14.048207338801282,2.5231325220201604
Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),615,615,17,190485,Bacteria; Gammaproteobacteria; Lysobacteraceae; Lysobacterales; Pseudomonadota; Xanthomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.991446672986724,13.991446672986724,2.326213245840639
Staphylococcus haemolyticus (strain JCSC1435),614,614,3,279808,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.980066885278035,13.980066885278035,0.9772050238058398
Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099),613,613,11,266835,Alphaproteobacteria; Bacteria; Hyphomicrobiales; Mesorhizobium; Phyllobacteriaceae; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.968677826861914,13.968677826861914,1.8712051592547776
Helicobacter pylori (strain ATCC 700392 / 26695),613,613,107,85962,Bacteria; Campylobacterales; Campylobacterota; Epsilonproteobacteria; Helicobacter; Helicobacteraceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.968677826861914,13.968677826861914,5.836022431559495
Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),605,605,6,272626,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Listeria; Listeriaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.877228871110882,13.877228871110882,1.381976597885342
Photobacterium profundum (strain SS9),602,602,1,298386,Bacteria; Gammaproteobacteria; Photobacterium; Pseudomonadota; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.842779759955802,13.842779759955802,0.5641895835477563
Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),602,602,1,342451,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.842779759955802,13.842779759955802,0.5641895835477563
Bacillus cereus (strain ATCC 10987 / NRS 248),595,595,5,222523,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.762063154896342,13.762063154896342,1.2615662610100802
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),594,594,139,246196,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycolicibacterium,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.750493532712623,13.750493532712623,6.651697090182843
Pectobacterium carotovorum subsp. carotovorum (strain PC1),591,591,1,561230,Bacteria; Enterobacterales; Gammaproteobacteria; Pectobacteriaceae; Pectobacterium; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.715726110367628,13.715726110367628,0.5641895835477563
Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),589,589,27,122586,Bacteria; Betaproteobacteria; Neisseria; Neisseriaceae; Neisseriales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.692498784453214,13.692498784453214,2.9316150714175193
Rickettsia prowazekii (strain Madrid E),584,584,10,272947,Alphaproteobacteria; Bacteria; Pseudomonadota; Rickettsia; Rickettsiaceae; Rickettsiales; Rickettsieae; typhus group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.63425735166143,13.63425735166143,1.7841241161527712
Aspergillus oryzae (strain ATCC 42149 / RIB 40),581,581,16,510516,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,13.599192765483634,13.599192765483634,2.256758334191025
Brucella suis biovar 1 (strain 1330),579,579,6,204722,Alphaproteobacteria; Bacteria; Brucella; Brucella/Ochrobactrum group; Brucellaceae; Hyphomicrobiales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.575766059431594,13.575766059431594,1.381976597885342
Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M),576,576,11,224914,Alphaproteobacteria; Bacteria; Brucella; Brucella/Ochrobactrum group; Brucellaceae; Hyphomicrobiales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.540550005146152,13.540550005146152,1.8712051592547776
Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15),575,575,25,190650,Alphaproteobacteria; Bacteria; Caulobacter; Caulobacteraceae; Caulobacterales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.528790949515026,13.528790949515026,2.8209479177387813
Aliivibrio fischeri (strain ATCC 700601 / ES114),573,573,5,312309,Aliivibrio; Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.505242122350568,13.505242122350568,1.2615662610100802
Bacillus thuringiensis subsp. konkukian (strain 97-27),569,569,1,281309,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.458020851469092,13.458020851469092,0.5641895835477563
Pseudomonas syringae pv. syringae (strain B728a),568,568,1,205918,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas; Pseudomonas syringae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.446189622059965,13.446189622059965,0.5641895835477563
Helicobacter pylori (strain J99 / ATCC 700824),568,568,14,85963,Bacteria; Campylobacterales; Campylobacterota; Epsilonproteobacteria; Helicobacter; Helicobacteraceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.446189622059965,13.446189622059965,2.111004122822376
Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),566,566,226,243274,Bacteria; Thermotoga; Thermotogaceae; Thermotogae; Thermotogales; Thermotogota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.422495877444907,13.422495877444907,8.481629223064205
Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),566,566,5,279010,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.422495877444907,13.422495877444907,1.2615662610100802
Bacillus cereus (strain ZK / E33L),562,562,1,288681,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.374982468597496,13.374982468597496,0.5641895835477563
Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),559,559,12,272562,Bacillati; Bacillota; Bacteria; Clostridia; Clostridiaceae; Clostridium; Eubacteriales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.339236349084569,13.339236349084569,1.9544100476116797
Xanthomonas axonopodis pv. citri (strain 306),557,557,3,190486,Bacteria; Gammaproteobacteria; Lysobacteraceae; Lysobacterales; Pseudomonadota; Xanthomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.315352289908494,13.315352289908494,0.9772050238058398
Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491),554,554,8,122587,Bacteria; Betaproteobacteria; Neisseria; Neisseriaceae; Neisseriales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.279445656570912,13.279445656570912,1.5957691216057308
Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5),554,554,6,220664,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.279445656570912,13.279445656570912,1.381976597885342
Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831),553,553,1,221109,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Oceanobacillus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.267455184007076,13.267455184007076,0.5641895835477563
Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6),547,547,2,264730,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.195283541573993,13.195283541573993,0.7978845608028654
Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534),543,543,54,196627,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Corynebacteriaceae; Corynebacterium; Mycobacteriales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.146949007195484,13.146949007195484,4.145929793656026
Lactococcus lactis subsp. lactis (strain IL1403),541,541,16,272623,Bacillati; Bacilli; Bacillota; Bacteria; Lactobacillales; Lactococcus; Streptococcaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,13.122714979204218,13.122714979204218,2.256758334191025
Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50),530,530,5,257310,Alcaligenaceae; Bacteria; Betaproteobacteria; Bordetella; Burkholderiales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.988619621707652,12.988619621707652,1.2615662610100802
Listeria monocytogenes serotype 4b (strain F2365),530,530,4,265669,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Listeria; Listeriaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.988619621707652,12.988619621707652,1.1283791670955126
Staphylococcus aureus (strain Newman),524,524,8,426430,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.914889870235298,12.914889870235298,1.5957691216057308
Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),523,523,21,345073,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.902560616952067,12.902560616952067,2.5854414729132054
Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),522,522,80,243230,Bacteria; Deinococcaceae; Deinococcales; Deinococci; Deinococcota; Deinococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.890219570974683,12.890219570974683,5.046265044040321
Xylella fastidiosa (strain 9a5c),522,522,2,160492,Bacteria; Gammaproteobacteria; Lysobacteraceae; Lysobacterales; Pseudomonadota; Xylella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.890219570974683,12.890219570974683,0.7978845608028654
Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),519,519,11,243365,Bacteria; Betaproteobacteria; Chromobacteriaceae; Chromobacterium; Neisseriales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.85312533702941,12.85312533702941,1.8712051592547776
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),519,519,60,170187,Bacillati; Bacilli; Bacillota; Bacteria; Lactobacillales; Streptococcaceae; Streptococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.85312533702941,12.85312533702941,4.370193722368317
Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A),519,519,7,188937,Archaea; Methanobacteriati; Methanobacteriota; Methanomicrobia; Methanosarcina; Methanosarcinaceae; Methanosarcinales; Stenosarchaea group,Archaea,Microbial,Cellular Life,Archaea,Monera,12.85312533702941,12.85312533702941,1.4927053303604616
Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),516,516,16,257313,Alcaligenaceae; Bacteria; Betaproteobacteria; Bordetella; Burkholderiales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.815923738491737,12.815923738491737,2.256758334191025
Xylella fastidiosa (strain Temecula1 / ATCC 700964),515,515,1,183190,Bacteria; Gammaproteobacteria; Lysobacteraceae; Lysobacterales; Pseudomonadota; Xylella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.80349918517013,12.80349918517013,0.5641895835477563
Geobacillus kaustophilus (strain HTA426),512,512,32,235909,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Geobacillus; Geobacillus thermoleovorans group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.766152972845846,12.766152972845846,3.1915382432114616
Pseudomonas aeruginosa (strain PA7),512,512,3,381754,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.766152972845846,12.766152972845846,0.9772050238058398
Haemophilus ducreyi (strain 35000HP / ATCC 700724),512,512,7,233412,Bacteria; Gammaproteobacteria; Haemophilus; Pasteurellaceae; Pasteurellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.766152972845846,12.766152972845846,1.4927053303604616
Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),511,511,7,227882,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,12.753679933255228,12.753679933255228,1.4927053303604616
